,id_item,title,price,category,link,img_url
29,30,"Повседневный трикотажный пиджак, прямой силуэт JT-0355-R NAVY",19999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0355-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0355-R/JT-0355-R-NAVY-5-1.jpg
30,31,"Повседневный трикотажный пиджак, прямой силуэт JT-0356-R GREY",13995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0356-r-grey/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0356-R/JT-0356-R-GREY-5-1.jpg
31,32,"Повседневный пиджак из мериносовой шерсти от итальянской фабрики Lanificio Zignone, прямой силуэт JT-0361-R LBROWN",29995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0361-r-lbrown/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0361-R/JT-0361-R-LBROWN-5-1.jpg
32,33,"Жилет с воротником-шалька, прямой силуэт VC-0014-1-R NAVY",9995,"[""Одежда"",""Жилеты"",""Пиджаки повседневные""]",https://henderson.ru/product/vc-0014-1-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/VC-0014-1-R/VC-0014-1-R-NAVY-5-1.jpg
33,34,"Повседневный вельветовый пиджак, прямой силуэт JT-0318-R BEIGE",15995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0318-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0318-R/JT-0318-R-BEIGE-5-1.jpg
34,35,"Повседневный вельветовый пиджак, прямой силуэт JT-0351-R TERRACOTTA",15995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0351-r-terracotta/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0351-R/JT-0351-R-TERRACOTTA-5-1.jpg
35,36,"Повседневный вельветовый пиджак, прямой силуэт JT-0350-R NAVY",15995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0350-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0350-R/JT-0350-R-NAVY-5-1.jpg
36,37,"Повседневный пиджак из мериносовой шерсти от итальянской фабрики Lanificio Zignone, прямой силуэт, на мужчину роста ниже среднего JT-0361-RP LBROWN",29995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0361-rp-lbrown/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0361-RP/JT-0361-RP-LBROWN-5-1.jpg
37,38,"Повседневный пиджак из эластичной ткани, прямой силуэт JT-0366-R NAVY",15995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0366-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0366-R/JT-0366-R-NAVY-5-1.jpg
38,39,"Повседневный пиджак из шерсти от итальянской фабрики Lanificio Bottoli, прямой силуэт JT-0362-R BLUE",39999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0362-r-blue/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0362-R/JT-0362-R-BLUE-5-1.jpg
39,40,"Повседневный пиджак из шерсти от итальянской фабрики Lanificio Bottoli, прямой силуэт, на мужчин роста ниже среднего JT-0362-RP BLUE",39999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0362-rp-blue/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0362-RP/JT-0362-RP-BLUE-5-1.jpg
40,41,"Повседневный пиджак из эластичной ткани, прямой силуэт JT-0358-R LBROWN",21999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0358-r-lbrown/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0358-R/JT-0358-R-LBROWN-5-1.jpg
41,42,"Повседневный пиджак из эластичной ткани, прилегающий силуэт JT-0358-SS LBROWN",21999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0358-ss-lbrown/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0358-SS/JT-0358-SS-LBROWN-5-1.jpg
